id,category,input,behavior,tools,expected_json,notes
TC033,medium,Lihat semua jadwal yang sedang aktif,tool_call,list_scheduled_jobs,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_scheduled_jobs"",""parameters"":{}}]}",
TC034,medium,Tampilkan status jadwal dengan id job-123,tool_call,get_scheduled_job_result,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_scheduled_job_result"",""parameters"":{""jobId"":""job-123""}}]}",
TC035,medium,Tampilkan daftar perangkat 5 per halaman,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{""size"":5}}]}",
TC036,medium,Lihat perangkat halaman kedua ukuran 10,tool_call,list_devices,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{""page"":1,""size"":10}}]}",
TC037,medium,Tampilkan daftar aturan otomatis yang sedang aktif saja,tool_call,list_automation_rules,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_automation_rules"",""parameters"":{""isActive"":true}}]}",
TC038,medium,Nonaktifkan aturan otomatis dengan id 2,tool_call,set_automation_rule_active,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_automation_rule_active"",""parameters"":{""ruleId"":2,""isActive"":false}}]}",
TC039,medium,Aktifkan kembali aturan otomatis id 1,tool_call,set_automation_rule_active,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_automation_rule_active"",""parameters"":{""ruleId"":1,""isActive"":true}}]}",
TC040,medium,Hapus aturan otomatis dengan id 4,tool_call,delete_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""delete_automation_rule"",""parameters"":{""ruleId"":4}}]}",
TC041,complex,Nyalakan lampu ruang tamu jika suhu ruang tamu di atas 30 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan lampu ruang tamu jika suhu ruang tamu di atas 30 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}],""conditionLogic"":""AND""}]}",
TC042,complex,Matikan lampu ruang tamu kalau suhu ruang tamu turun di bawah 20 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Matikan lampu ruang tamu kalau suhu ruang tamu turun di bawah 20 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":20}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":20}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC043,complex,Nyalakan kipas jika suhu ruangan di atas 30 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan kipas jika suhu ruangan di atas 30 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Kipas"",""state"":""on""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Kipas"",""state"":""on""}],""conditionLogic"":""AND""}]}","Skenario canonical brief — trigger Suhu ruangan, action Kipas."
TC044,complex,"Jika suhu ruang tamu lebih dari 32 derajat, matikan lampu ruang tamu",tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Jika suhu ruang tamu lebih dari 32 derajat, matikan lampu ruang tamu"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":32}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":32}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC045,complex,Nyalakan lampu ruang tamu otomatis kalau suhu ruang tamu minimal 29 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan lampu ruang tamu otomatis kalau suhu ruang tamu minimal 29 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">="",""threshold"":29}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">="",""threshold"":29}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}],""conditionLogic"":""AND""}]}",
TC046,complex,Matikan kipas jika suhu ruangan turun di bawah 25 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Matikan kipas jika suhu ruangan turun di bawah 25 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":25}],""actions"":[{""deviceName"":""Kipas"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":25}],""actions"":[{""deviceName"":""Kipas"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC047,complex,Buat aturan: matikan lampu kamar jika suhu ruang tamu tepat 25 derajat,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Buat aturan: matikan lampu kamar jika suhu ruang tamu tepat 25 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":""=="",""threshold"":25}],""actions"":[{""deviceName"":""Lampu kamar"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":""=="",""threshold"":25}],""actions"":[{""deviceName"":""Lampu kamar"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC048,complex,Nyalakan lampu ruang tamu jika suhu ruang tamu di atas 27 derajat dengan cooldown 10 menit,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan lampu ruang tamu jika suhu ruang tamu di atas 27 derajat dengan cooldown 10 menit"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":27}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}],""cooldownSec"":600}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":27}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""on""}],""conditionLogic"":""AND""}]}",
TC049,complex,Nyalakan kipas sekarang dan buat aturan matikan otomatis jika suhu ruangan di bawah 25 derajat,tool_call,set_actuator_state_by_device_name; create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Kipas"",""state"":""on""}},{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan kipas sekarang dan buat aturan matikan otomatis jika suhu ruangan di bawah 25 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":25}],""actions"":[{""deviceName"":""Kipas"",""state"":""off""}]}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":""<"",""threshold"":25}],""actions"":[{""deviceName"":""Kipas"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC050,complex,Nyalakan kipas jika suhu ruangan di atas 30 derajat dengan cooldown 5 menit,tool_call,create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Nyalakan kipas jika suhu ruangan di atas 30 derajat dengan cooldown 5 menit"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Kipas"",""state"":""on""}],""cooldownSec"":300}}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":30}],""actions"":[{""deviceName"":""Kipas"",""state"":""on""}],""conditionLogic"":""AND""}]}",
TC051,complex,Nyalakan lampu ruang tamu sekarang dan jadwalkan mati jam 06:00 setiap hari,tool_call,set_actuator_state_by_device_name; schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}},{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""repeat"",""hour"":6,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""repeat"",""hour"":6,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC052,complex,Matikan lampu kamar sekarang dan jadwalkan nyala lagi besok jam 07:00,tool_call,set_actuator_state_by_device_name; schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu kamar"",""state"":""off""}},{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu kamar"",""state"":""on"",""category"":""once"",""hour"":7,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu kamar"",""action"":""on"",""category"":""once"",""hour"":7,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC053,complex,Berikan suhu ruangan dan status kipas sekarang,tool_call,get_last_log_by_device_name; get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}},{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Kipas""}}]}",
TC054,complex,Cek status lampu ruang tamu dan suhu ruang tamu saat ini,tool_call,get_last_log_by_device_name; get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu""}},{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}}]}",
TC055,complex,Nyalakan lampu ruang tamu setiap hari jam 18:00 dan matikan setiap hari jam 06:00,tool_call,schedule_actuator_state_at; schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""repeat"",""hour"":18,""minute"":0}},{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off"",""category"":""repeat"",""hour"":6,""minute"":0}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""repeat"",""hour"":18,""minute"":0,""timezone"":""Asia/Jakarta""},{""deviceName"":""Lampu ruang tamu"",""action"":""off"",""category"":""repeat"",""hour"":6,""minute"":0,""timezone"":""Asia/Jakarta""}]}",
TC056,complex,Tampilkan daftar perangkat dan daftar aturan otomatis yang aktif,tool_call,list_devices; list_automation_rules,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""list_devices"",""parameters"":{}},{""tool"":""list_automation_rules"",""parameters"":{""isActive"":true}}]}",
TC057,complex,Nyalakan lampu ruang tamu dan catat suhu ruang tamu sekarang 29 derajat,tool_call,set_actuator_state_by_device_name; create_device_log,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on""}},{""tool"":""create_device_log"",""parameters"":{""deviceName"":""Suhu ruangan"",""deviceLogData"":""29""}}]}",
TC058,complex,Jadwalkan nyalakan lampu ruang tamu jam 18:00 setiap hari dan buat aturan matikan otomatis jika suhu ruang tamu di atas 31 derajat,tool_call,schedule_actuator_state_at; create_automation_rule,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""repeat"",""hour"":18,""minute"":0}},{""tool"":""create_automation_rule"",""parameters"":{""originalPrompt"":""Jadwalkan nyalakan lampu ruang tamu jam 18:00 setiap hari dan buat aturan matikan otomatis jika suhu ruang tamu di atas 31 derajat"",""trigger"":{""deviceName"":""Suhu ruangan"",""metric"":""temperature""},""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":31}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}]}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""repeat"",""hour"":18,""minute"":0,""timezone"":""Asia/Jakarta""}],""rule"":[{""triggerDeviceName"":""Suhu ruangan"",""triggerMetric"":""temperature"",""conditions"":[{""metric"":""temperature"",""operator"":"">"",""threshold"":31}],""actions"":[{""deviceName"":""Lampu ruang tamu"",""state"":""off""}],""conditionLogic"":""AND""}]}",
TC059,complex,Tampilkan 10 riwayat suhu ruang tamu terakhir dan status lampu kamar,tool_call,get_last_10_logs_by_device_name; get_last_log_by_device_name,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""get_last_10_logs_by_device_name"",""parameters"":{""deviceName"":""Suhu ruangan""}},{""tool"":""get_last_log_by_device_name"",""parameters"":{""deviceName"":""Lampu kamar""}}]}",
TC060,complex,"Matikan lampu ruang tamu sekarang, lalu jadwalkan nyala lagi setiap hari jam 06:30",tool_call,set_actuator_state_by_device_name; schedule_actuator_state_at,"{""behavior"":""tool_call"",""toolCalls"":[{""tool"":""set_actuator_state_by_device_name"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""off""}},{""tool"":""schedule_actuator_state_at"",""parameters"":{""deviceName"":""Lampu ruang tamu"",""state"":""on"",""category"":""repeat"",""hour"":6,""minute"":30}}],""schedule"":[{""deviceName"":""Lampu ruang tamu"",""action"":""on"",""category"":""repeat"",""hour"":6,""minute"":30,""timezone"":""Asia/Jakarta""}]}",
TC061,ambiguous,Nyalakan lampunya,clarification,,"{""behavior"":""clarification""}","Ambigu sungguhan: ada dua device lampu terdaftar (""Lampu ruang tamu"" dan ""Lampu kamar""), ""lampunya"" tidak menunjuk salah satunya secara pasti."
TC062,ambiguous,Matikan aja ya,clarification,,"{""behavior"":""clarification""}",Tidak menyebut perangkat sama sekali.
TC063,ambiguous,Aktifkan otomatisasi kalau suhunya panas,clarification,,"{""behavior"":""clarification""}","Tidak ada device, metric, atau ambang batas numerik yang jelas untuk membentuk rule."
TC064,ambiguous,Jadwalkan nanti sore ya,clarification,,"{""behavior"":""clarification""}","Tidak ada device, aksi, maupun jam yang pasti."
TC065,ambiguous,Cek suhunya dong,clarification,,"{""behavior"":""clarification""}",Tidak jelas sensor suhu yang dimaksud (ruang tamu atau lainnya).
TC066,ambiguous,Nyalakan aja kalau sempat,clarification,,"{""behavior"":""clarification""}",Tidak menyebut perangkat sama sekali.
TC067,ambiguous,Matikan itu juga,clarification,,"{""behavior"":""clarification""}",Rujukan kata ganti tanpa histori percakapan (sessionId baru/kosong pada setiap repetisi evaluasi).
TC068,ambiguous,Set jadwal otomatis untuk malam hari,clarification,,"{""behavior"":""clarification""}","Tidak ada device, aksi, maupun jam pasti — 'malam hari' bukan waktu spesifik."
TC069,ambiguous,Naikkan sedikit suhunya,clarification,,"{""behavior"":""clarification""}",Tidak ada tool untuk mengatur suhu secara analog/bertahap; tidak jelas perangkat maupun aksi apa yang dimaksud.
TC070,ambiguous,Aktifkan mode hemat energi,clarification,,"{""behavior"":""clarification""}","Bukan kapabilitas yang dikenal sistem (bukan device, schedule, atau rule spesifik)."
TC071,ambiguous,Matikan yang tadi nyala,clarification,,"{""behavior"":""clarification""}",Rujukan kata ganti tanpa histori percakapan (sessionId baru/kosong pada setiap repetisi evaluasi).
TC072,ambiguous,Tolong nyalakan sekarang,clarification,,"{""behavior"":""clarification""}",Tidak menyebut perangkat sama sekali.
TC073,ambiguous,Ubah suhu jadi lebih dingin,clarification,,"{""behavior"":""clarification""}",Tidak ada tool untuk mengatur suhu secara analog; tidak jelas perangkat maupun aksi yang dimaksud.
TC074,ambiguous,Jadwalkan kipas nanti,clarification,,"{""behavior"":""clarification""}",Device disebut tapi tidak ada state (on/off) maupun jam yang pasti.
